Taxa,kingdoms,phyla,classes,orders,families,genera,species,aliphatic,biofilm,other plastic,planktonic,unknown plastic,Importance,ANCOM
Family: Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,73856.59898477157,87231.85840707965,80186.40776699029,85589.70588235294,8674.111675126904,0.0057677992098034035,NS
Order: SAR86 clade,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,110.40609137055837,104.42477876106194,223.7864077669903,45633.82352941176,3505.583756345178,0.016173807109171774,S
Order: Arenicellales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,14549.238578680202,6509.734513274337,20523.300970873788,137.86764705882354,1142.1319796954315,0.011052059123892668,NS
Order: Oceanospirillales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,193403.2994923858,28603.53982300885,106132.52427184465,23031.25,11605.07614213198,0.010083926084328232,NS
Order: Betaproteobacteriales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,74812.43654822336,34030.08849557522,26228.155339805824,55598.89705882353,17395.431472081218,0.008799808876954236,NS
Order: Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,73856.59898477157,87231.85840707965,80186.40776699029,85589.70588235294,8674.111675126904,0.008436227527953758,NS
Order: Pseudomonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,93441.37055837564,1350.4424778761063,31054.85436893204,1108.0882352941176,39101.52284263959,0.008365343477309882,S
Order: AT-s2-59,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,51.015228426395936,5338.053097345132,355.3398058252427,0.7352941176470589,4.060913705583756,0.00777375413901423,S
Order: Cellvibrionales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,30711.167512690354,15650.442477876106,59655.33980582524,40523.89705882353,9201.522842639593,0.007733927200142649,NS
Order: Thiomicrospirales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,515.4822335025381,1539.8230088495575,286.8932038834951,17884.926470588234,12.690355329949238,0.006686054973573768,S
Order: Steroidobacterales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,6822.33502538071,15452.212389380531,12051.456310679612,1140.8088235294117,838.0710659898477,0.005517948504503561,NS
Order: Alteromonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,94287.30964467005,33440.70796460177,143224.7572815534,3998.8970588235293,59001.0152284264,0.005390854588054583,NS
Order: B2M28,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,5823.096446700508,15396.46017699115,603.8834951456311,1775.3676470588234,2103.0456852791876,0.005207154582842652,S
Order: Nitrosococcales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,5777.918781725888,6878.761061946902,2303.3980582524273,75.73529411764706,119.79695431472081,0.00500792681419443,S
Family: Porticoccaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionales,Cellvibrionales,Cellvibrionales,1201.5228426395938,276.9911504424779,24983.009708737864,17963.235294117647,448.2233502538071,0.00803976410873838,S
Species: OM43 clade,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,OM43 clade,OM43 clade,339.0862944162437,466.37168141592923,97.57281553398059,26087.5,56.85279187817259,0.008806397945128318,S
Genera: OM43 clade,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilaceae,Methylophilaceae,339.0862944162437,466.37168141592923,97.57281553398059,26087.5,56.85279187817259,0.00821369776943213,S
Family: Methylophilaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales,Betaproteobacteriales,Betaproteobacteriales,23371.827411167513,513.2743362831858,764.0776699029126,27827.573529411766,73.09644670050761,0.008416925117748844,S
Family: Arenicellaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellales,Arenicellales,Arenicellales,14549.238578680202,6509.734513274337,20523.300970873788,137.86764705882354,1142.1319796954315,0.008054982148959023,NS
Species: Alteromonas,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas,10740.355329949238,8738.938053097345,58298.05825242718,664.3382352941177,30991.370558375635,0.005025301724781032,S
Family: PB19,Bacteria,Proteobacteria,Deltaproteobacteria,PB19,PB19,PB19,PB19,1370.3045685279187,121.23893805309734,733.0097087378641,6500.735294117647,2000.0,0.006182478609359825,S
Family: P3OB-42,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales,Myxococcales,378.1725888324873,2.6548672566371683,1130.0970873786407,3071.323529411765,173.60406091370558,0.005909127547537005,S
Family: Sandaracinaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales,Myxococcales,4101.015228426396,9955.752212389381,3281.5533980582522,454.4117647058824,2968.527918781726,0.005353090391300957,NS
Family: Desulfobulbaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacterales,Desulfobacterales,Desulfobacterales,5124.365482233503,15955.752212389381,9710.679611650485,2199.264705882353,1439.5939086294416,0.005062465842828049,NS
Order: PB19,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,1370.3045685279187,121.23893805309734,733.0097087378641,6500.735294117647,2000.0,0.009193802258134648,S
Order: Myxococcales,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,16440.862944162436,13444.247787610619,19746.11650485437,4806.617647058823,7743.6548223350255,0.007250631911917627,NS
Order: Desulfobacterales,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,7389.086294416244,31597.34513274336,21833.009708737864,2927.573529411765,3921.8274111675128,0.007068751793996076,NS
Order: Desulfuromonadales,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,3066.751269035533,14948.67256637168,3019.4174757281553,743.75,804.5685279187817,0.006379180841623817,NS
Family: unidentified marine bacterioplankton,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadales,Bradymonadales,Bradymonadales,915.736040609137,6.1946902654867255,888.8349514563107,32052.20588235294,812.6903553299493,0.005470264408254042,S
Species: marine metagenome,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,Peredibacter,2850.761421319797,1109.7345132743362,3830.097087378641,19493.75,5322.842639593909,0.006392549122204303,NS
Family: Nisaeaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculales,Thalassobaculales,Thalassobaculales,3500.507614213198,337.16814159292034,639.8058252427185,41039.705882352944,1145.6852791878173,0.008239494348849873,S
Species: OM75 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,OM75 clade,785.7868020304569,128.31858407079645,220.38834951456312,40199.26470588235,186.2944162436548,0.009077977507663629,S
Genera: OM75 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,Nisaeaceae,Nisaeaceae,785.7868020304569,128.31858407079645,220.38834951456312,40199.26470588235,186.2944162436548,0.008375667837831823,S
Family: Sphingomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadales,Sphingomonadales,Sphingomonadales,220987.81725888324,34238.93805309734,88058.25242718446,72133.82352941176,181807.10659898477,0.0096928126973859,NS
Species: Sphingomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadaceae,32398.984771573603,4175.221238938053,21191.26213592233,38325.73529411765,61891.37055837563,0.007125999644772062,NS
Genera: Erythrobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadaceae,120567.00507614213,1985.8407079646017,31318.93203883495,26062.132352941175,93970.05076142131,0.007468261426126991,S
Genera: Sphingomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadaceae,32398.984771573603,4175.221238938053,21191.26213592233,38325.73529411765,61891.37055837563,0.007409783489425925,NS
Species: Erythrobacter,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,Erythrobacter,119921.82741116751,1985.8407079646017,31284.466019417476,26062.132352941175,93970.05076142131,0.006417187161074078,S
Family: Clade II,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade,SAR11 clade,SAR11 clade,7047.969543147208,523.0088495575221,12518.932038834952,568101.8382352941,6626.395939086295,0.02044947669451276,S
Family: Clade I,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade,SAR11 clade,SAR11 clade,62002.79187817259,3470.7964601769913,90972.33009708738,3953875.0,38832.99492385787,0.015631273510965226,NS
Family: Clade IV,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade,SAR11 clade,SAR11 clade,7125.888324873096,183.18584070796462,5319.902912621359,363070.2205882353,2311.6751269035535,0.00905656892594403,S
Family: Clade III,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,SAR11 clade,SAR11 clade,SAR11 clade,206.85279187817258,40.70796460176991,928.1553398058253,10347.79411764706,552.7918781725888,0.00835759045498511,S
Species: Clade IV,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,Clade IV,Clade IV,7125.888324873096,183.18584070796462,5319.902912621359,363070.2205882353,2311.6751269035535,0.006490468277447094,S
Genera: Clade IV,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade IV,Clade IV,Clade IV,7125.888324873096,183.18584070796462,5319.902912621359,363070.2205882353,2311.6751269035535,0.0066728820869592425,S
Species: Clade III,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Clade III,Clade III,132.99492385786803,20.353982300884955,861.1650485436893,7849.632352941177,527.9187817258884,0.0073143000526811625,S
Genera: Clade III,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Clade III,Clade III,132.99492385786803,20.353982300884955,861.1650485436893,7849.632352941177,527.9187817258884,0.006542321655070209,S
ASV6897: Clade II,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,Clade II,Clade II,5104.568527918782,318.5840707964602,9100.970873786408,389747.0588235294,6032.48730964467,0.006157336466873574,S
Species: Clade II,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,Clade II,Clade II,7047.969543147208,523.0088495575221,12518.932038834952,568101.8382352941,6626.395939086295,0.013021796654534307,S
Genera: Clade II,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,Clade II,Clade II,7047.969543147208,523.0088495575221,12518.932038834952,568101.8382352941,6626.395939086295,0.012825779195152405,S
ASV1432: Clade I,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade I,Clade I,40517.766497461926,2200.8849557522126,57089.80582524272,2191762.867647059,31241.116751269037,0.006421327364953305,S
Species: Clade I,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade I,Clade I,61990.10152284264,3461.0619469026547,90500.0,3950973.161764706,38574.6192893401,0.011251771594096287,NS
Genera: Clade I,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade I,Clade I,61990.10152284264,3461.0619469026547,90500.0,3950973.161764706,38574.6192893401,0.011136736940596326,NS
Species: S25-593,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,S25-593,S25-593,1184.517766497462,61.94690265486726,3754.368932038835,58493.75,2119.796954314721,0.009565374088970888,S
Genera: S25-593,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,S25-593,S25-593,1184.517766497462,61.94690265486726,3754.368932038835,58493.75,2119.796954314721,0.009578819160385707,S
Family: S25-593,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales,Rickettsiales,Rickettsiales,1235.5329949238578,61.94690265486726,3757.766990291262,59897.05882352941,2135.532994923858,0.01277753058223392,S
Family: AEGEAN-169 marine group,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales,Rhodospirillales,9035.02538071066,515.929203539823,22299.02912621359,623735.2941176471,4517.766497461929,0.01278371236483973,S
Family: Magnetospiraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales,Rhodospirillales,892.8934010152284,32326.548672566372,516.0194174757281,3653.3088235294117,47.71573604060914,0.009468221916018562,S
Species: AEGEAN-169 marine group,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,AEGEAN-169 marine group,AEGEAN-169 marine group,8935.27918781726,498.2300884955752,22208.73786407767,610284.5588235294,4501.015228426396,0.006981620392941117,S
Genera: AEGEAN-169 marine group,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,AEGEAN-169 marine group,AEGEAN-169 marine group,8935.27918781726,498.2300884955752,22208.73786407767,610284.5588235294,4501.015228426396,0.0077407229578154565,S
Family: Rhodobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacterales,Rhodobacterales,617020.5583756345,106458.40707964601,267741.7475728155,563256.6176470588,491949.2385786802,0.016347220109733933,NS
Species: Rhodobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae,Rhodobacteraceae,402445.17766497465,76231.85840707965,175863.5922330097,369891.17647058825,236924.3654822335,0.00721622774499114,NS
Genera: Rhodobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae,Rhodobacteraceae,402445.17766497465,76231.85840707965,175863.5922330097,369891.17647058825,236924.3654822335,0.00879059589734352,NS
Species: Planktomarina,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,Planktomarina,4144.670050761421,829.2035398230089,475.24271844660194,74578.30882352941,653.2994923857868,0.005225210425878456,S
Family: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales,Rhizobiales,187882.74111675128,53631.85840707965,80076.69902912622,16011.764705882353,115947.20812182741,0.00904834427051548,NS
Family: Rhizobiales Incertae Sedis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales,Rhizobiales,4300.761421319797,3200.0,10855.825242718447,245.58823529411765,5410.15228426396,0.005590912394550846,NS
Species: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae,105064.97461928934,9481.41592920354,30328.64077669903,12275.735294117647,65757.36040609136,0.0058151868427786715,NS
Genera: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae,105064.97461928934,9481.41592920354,30328.64077669903,12275.735294117647,65757.36040609136,0.006935140331408246,NS
Genera: Pseudahrensia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae,57073.604060913705,16871.681415929204,35466.01941747573,2927.9411764705883,37922.33502538071,0.0055341369581933175,NS
Species: SAR116 cluster bacterium REDSEA-S10_B10N8,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,SAR116 cluster bacterium REDSEA-S10_B10N8,SAR116 cluster bacterium REDSEA-S10_B10N8,264.21319796954316,39.823008849557525,1297.5728155339805,24281.617647058825,1355.8375634517768,0.0050194191575686714,S
ASV3258: SAR116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,SAR116 clade,SAR116 clade,1065.736040609137,1072.5663716814158,2616.990291262136,65609.55882352941,1095.4314720812183,0.006391434046161117,S
Species: SAR116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,SAR116 clade,SAR116 clade,10364.97461928934,11646.902654867257,19016.504854368934,627587.1323529412,8492.893401015228,0.01515105187337715,S
Genera: SAR116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,SAR116 clade,SAR116 clade,10364.97461928934,11646.902654867257,19016.504854368934,627587.1323529412,8492.893401015228,0.015086611374840587,S
Family: SAR116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillales,Puniceispirillales,Puniceispirillales,11319.289340101523,11890.265486725664,25105.339805825242,672009.9264705882,11066.497461928933,0.020264201081581883,S
Family: OCS116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculales,Parvibaculales,Parvibaculales,668.274111675127,27.43362831858407,107.28155339805825,39818.01470588235,146.7005076142132,0.013349419060520588,S
Family: Parvibaculaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculales,Parvibaculales,Parvibaculales,3372.0812182741115,226.5486725663717,2462.135922330097,83206.25,1263.9593908629442,0.006185099929889671,S
Species: Parvibaculaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculaceae,Parvibaculaceae,1288.8324873096446,49.557522123893804,1216.990291262136,83025.0,308.6294416243655,0.0091457792028187,S
Genera: Parvibaculaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculaceae,Parvibaculaceae,1288.8324873096446,49.557522123893804,1216.990291262136,83025.0,308.6294416243655,0.009591012041167015,S
Species: OCS116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,OCS116 clade,OCS116 clade,668.274111675127,27.43362831858407,107.28155339805825,39818.01470588235,146.7005076142132,0.00984442380027125,S
Genera: OCS116 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,OCS116 clade,OCS116 clade,668.274111675127,27.43362831858407,107.28155339805825,39818.01470588235,146.7005076142132,0.008986122655801985,S
Family: Micavibrionales,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionales,Micavibrionales,Micavibrionales,8255.07614213198,787.6106194690266,5100.0,1146.6911764705883,3028.9340101522844,0.008318612048308709,NS
Genera: Hyphomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae,Hyphomonadaceae,32580.964467005077,28168.141592920354,57119.90291262136,2928.3088235294117,20184.771573604063,0.005281935623889637,NS
Family: Hyphomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacterales,Caulobacterales,80813.95939086295,32449.557522123894,92209.70873786407,14754.411764705883,46358.88324873096,0.00912670178287043,NS
Family: Parvularculaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacterales,Caulobacterales,7921.827411167513,907.0796460176991,6096.116504854369,183.08823529411765,3374.1116751269037,0.005457761036685335,NS
Family: Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,258533.24873096446,53551.32743362832,145522.33009708737,161749.26470588235,115101.52284263959,0.008588031058378713,NS
Order: Puniceispirillales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,12372.842639593908,11978.761061946903,25717.47572815534,673330.5147058824,11083.248730964468,0.029883960917872775,NS
Order: SAR11 clade,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,76745.17766497462,4228.3185840707965,110774.2718446602,4930878.676470588,48494.41624365482,0.025875405705605984,NS
Order: Rhodobacterales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,617020.5583756345,106458.40707964601,267741.7475728155,563256.6176470588,491949.2385786802,0.024455273169652784,NS
Order: Rickettsiales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,5367.51269035533,1501.7699115044247,6682.038834951456,69661.76470588235,2692.8934010152284,0.02121104052957324,NS
Order: Rhodospirillales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,17240.10152284264,36101.76991150442,38848.54368932039,637723.5294117647,16252.284263959391,0.02061431100123261,NS
Order: Rhizobiales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,222530.71065989847,75223.89380530974,120682.52427184465,21790.808823529413,141370.05076142133,0.016942946383220664,NS
Order: Parvibaculales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,6289.340101522843,456.6371681415929,6620.873786407767,124892.2794117647,3971.0659898477156,0.016827180490537958,S
Order: Sphingomonadales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,220987.81725888324,34238.93805309734,88058.25242718446,72133.82352941176,181807.10659898477,0.014530633144214237,NS
Order: Caulobacterales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,92898.2233502538,36018.58407079646,99730.09708737864,15012.132352941177,54454.82233502538,0.01299334721201964,NS
Order: Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,258533.24873096446,53551.32743362832,145522.33009708737,161749.26470588235,115101.52284263959,0.01061492461512044,NS
Order: Thalassobaculales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,4971.319796954314,676.9911504424779,2282.5242718446602,44472.42647058824,1559.3908629441623,0.010048396368382595,S
