Taxa,kingdoms,phyla,classes,orders,families,genera,species,biofilm,unknown plastic,Importance,ANCOM
Species: Arenimonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Arenimonas,0.3854166666666667,0.036000000000000004,0.00824584,NS
ASV3833: Rhodanobacteraceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,Rhodanobacteraceae,0.15,0.14600000000000002,0.011174334,NS
Species: Rhodanobacteraceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,Rhodanobacteraceae,0.15,0.14600000000000002,0.005523188,NS
Genera: Dokdonella,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,Rhodanobacteraceae,0.4083333333333334,0.47,0.009159861,S
Genera: Rhodanobacteraceae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacteraceae,Rhodanobacteraceae,0.15,0.14600000000000002,0.00846135,S
ASV3860: Dokdonella,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,Dokdonella,0.2166666666666667,0.136,0.0056229,NS
Species: Dokdonella,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,Dokdonella,0.4083333333333334,0.47,0.025536022999999998,NS
Family: Moraxellaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadales,Pseudomonadales,0.6375,0.694,0.021670121,NS
Family: Pseudomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadales,Pseudomonadales,1.1854166666666668,0.676,0.016416151,NS
Species: Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas,1.14375,0.5279999999999999,0.01123088,NS
Genera: Pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadaceae,1.1854166666666668,0.676,0.010484224,NS
ASV4190: Psychrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter,0.5354166666666667,0.39599999999999996,0.008268083,NS
Species: Psychrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter,0.5354166666666667,0.39599999999999996,0.012479158999999998,NS
Genera: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae,Moraxellaceae,0.10208333333333332,0.29799999999999993,0.005928008,S
Genera: Psychrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxellaceae,Moraxellaceae,0.5354166666666667,0.39599999999999996,0.009984657,NS
ASV4070: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,0.041666666666666664,0.13599999999999998,0.00619616,NS
Species: Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,0.10208333333333332,0.29799999999999993,0.022606557000000003,NS
Family: Halomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales,0.37916666666666665,0.11199999999999999,0.006168396,NS
Species: Halomonas lutea,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas,0.22291666666666665,0.066,0.005507082,NS
Genera: Halomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonadaceae,Halomonadaceae,0.37916666666666665,0.11199999999999999,0.006602741999999999,S
ASV3944: Methylomonaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Methylomonaceae,Methylomonaceae,0.09583333333333334,0.052000000000000005,0.00688551,NS
Species: Methylomonaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Methylomonaceae,Methylomonaceae,0.2791666666666667,0.094,0.011615803999999999,NS
Genera: Methylomonaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Methylomonaceae,Methylomonaceae,0.2791666666666667,0.094,0.006740245,S
Family: Methylomonaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcales,Methylococcales,Methylococcales,0.2791666666666667,0.094,0.025395522,NS
Family: Methylococcaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcales,Methylococcales,Methylococcales,0.7604166666666669,1.116,0.023422002,NS
Genera: Methylocaldum,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcaceae,Methylococcaceae,0.7270833333333334,0.9800000000000001,0.01299146,S
ASV0047: Methylocaldum marinum,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,Methylocaldum marinum,0.1583333333333333,0.076,0.0060362409999999995,NS
ASV0250: Methylocaldum,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,Methylocaldum,0.26249999999999996,0.086,0.011362063,NS
ASV0248: Methylocaldum,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,Methylocaldum,0.08333333333333333,0.046000000000000006,0.014565246,NS
Species: Methylocaldum,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,Methylocaldum,0.45625,0.27599999999999997,0.01030206,NS
Order: Pseudomonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,1.822916666666667,1.3700000000000003,0.046680025,NS
Order: Betaproteobacteriales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,1.76875,1.1280000000000001,0.070247047,NS
Order: Xanthomonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,3.2979166666666675,2.3480000000000003,0.031587893,NS
Order: Methylococcales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,1.1166666666666667,1.4399999999999997,0.026339663,NS
Order: Cellvibrionales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,0.20416666666666664,0.13399999999999998,0.01090673,NS
Order: Enterobacteriales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,0.016666666666666666,0.242,0.015968525,NS
Order: Oceanospirillales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,0.38749999999999996,0.24599999999999994,0.014713623,NS
Order: Alteromonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,0.10833333333333335,0.046,0.005210745,NS
Family: Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriales,Enterobacteriales,0.016666666666666666,0.242,0.018430387,NS
ASV4365: Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,0.014583333333333335,0.128,0.007619916,NS
Species: Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,0.016666666666666666,0.242,0.010341953000000001,NS
Genera: Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae,Enterobacteriaceae,0.016666666666666666,0.242,0.005587356999999999,NS
Genera: Nitrosomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonadaceae,Nitrosomonadaceae,0.03541666666666667,0.312,0.005569014000000001,S
Species: Massilia,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,Massilia,0.42291666666666666,0.152,0.014450093999999998,NS
Species: Burkholderiaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae,Burkholderiaceae,0.4979166666666666,0.16200000000000003,0.012250428,NS
Genera: Burkholderiaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae,Burkholderiaceae,0.4979166666666666,0.16200000000000003,0.010101454000000001,NS
Genera: Massilia,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae,Burkholderiaceae,0.42291666666666666,0.152,0.005995146999999999,S
Family: Burkholderiaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales,Betaproteobacteriales,Betaproteobacteriales,1.0770833333333334,0.608,0.020877354,NS
Family: Nitrosomonadaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Betaproteobacteriales,Betaproteobacteriales,Betaproteobacteriales,0.5208333333333334,0.508,0.012413891000000002,NS
Genera: Shewanella,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanellaceae,Shewanellaceae,0.10833333333333335,0.046,0.006255499,S
Family: Shewanellaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales,Alteromonadales,Alteromonadales,0.10833333333333335,0.046,0.005616419,NS
ASV1732: Sandaracinaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinaceae,Sandaracinaceae,0.09583333333333334,0.022000000000000002,0.005908729000000001,NS
Species: Sandaracinaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinaceae,Sandaracinaceae,0.19791666666666666,0.042,0.010586773,NS
Genera: Sandaracinaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinaceae,Sandaracinaceae,0.19791666666666666,0.042,0.005445084,S
Family: Sandaracinaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Myxococcales,Myxococcales,0.19791666666666666,0.042,0.011065446000000001,NS
Order: Myxococcales,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,0.38749999999999996,0.08800000000000001,0.013497432,NS
Family: Geminicoccaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Tistrellales,Tistrellales,Tistrellales,0.2729166666666667,0.08800000000000001,0.010136618,NS
Species: Geminicoccaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Geminicoccaceae,Geminicoccaceae,0.18333333333333332,0.07200000000000001,0.006244176999999999,NS
Genera: Geminicoccaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Geminicoccaceae,Geminicoccaceae,0.18333333333333332,0.07200000000000001,0.011370071,S
Family: Sphingomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadales,Sphingomonadales,Sphingomonadales,0.7125,0.7340000000000001,0.029132736,NS
ASV0427: Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,0.18125,0.23800000000000002,0.006210353,NS
Species: Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,0.4854166666666666,0.37599999999999995,0.005857149,NS
ASV0431: Sphingomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadaceae,0.05416666666666667,0.07800000000000001,0.008382504,NS
Species: Sphingomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadaceae,0.17499999999999996,0.08600000000000002,0.008784448,NS
Genera: Sphingomonas,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadaceae,0.4854166666666666,0.37599999999999995,0.008965492,S
Family: Fodinicurvataceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Rhodovibrionales,Rhodovibrionales,Rhodovibrionales,0.09166666666666666,0.076,0.011769789,NS
Species: Fodinicurvataceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Fodinicurvataceae,Fodinicurvataceae,Fodinicurvataceae,0.09166666666666666,0.076,0.007266155,NS
Genera: Fodinicurvataceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Fodinicurvataceae,Fodinicurvataceae,Fodinicurvataceae,0.09166666666666666,0.076,0.007891883,S
Family: Rhodopirillaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales,Rhodospirillales,0.13541666666666666,0.024,0.012594123,NS
Genera: Defluviicoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodopirillaceae,Rhodopirillaceae,Rhodopirillaceae,0.13541666666666666,0.024,0.019671293,S
ASV0606: Defluviicoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodopirillaceae,Defluviicoccus,Defluviicoccus,0.13541666666666666,0.024,0.0070519630000000005,NS
Species: Defluviicoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodopirillaceae,Defluviicoccus,Defluviicoccus,0.13541666666666666,0.024,0.011804643,NS
Family: Rhodobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacterales,Rhodobacterales,0.24166666666666667,0.726,0.010699998,NS
ASV1341: Rubellimicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium,0.21666666666666667,0.636,0.007080863000000001,NS
Species: Rubellimicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium,0.21666666666666667,0.636,0.005734321,NS
Genera: Rubellimicrobium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae,Rhodobacteraceae,0.21666666666666667,0.636,0.005123461,S
Family: Devosiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales,Rhizobiales,0.3166666666666666,0.15999999999999998,0.023297288,NS
Family: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales,Rhizobiales,0.4583333333333333,0.67,0.029734932999999998,NS
Family: Beijerinckiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales,Rhizobiales,0.16875000000000004,0.20600000000000002,0.005623881999999999,NS
ASV1111: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae,0.16249999999999998,0.39799999999999996,0.015832881,NS
Species: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae,0.20624999999999996,0.39799999999999996,0.014940333,NS
Genera: Rhizobiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobiaceae,Rhizobiaceae,0.20624999999999996,0.39799999999999996,0.014255063,NS
Genera: Devosia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosiaceae,Devosiaceae,0.3166666666666666,0.15999999999999998,0.022335402999999997,NS
ASV0877: Devosia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia,0.16874999999999998,0.13799999999999998,0.013663521999999999,NS
Species: Devosia,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia,0.3166666666666666,0.15999999999999998,0.013147266999999999,NS
ASV0719: Microvirga,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,Microvirga,0.1125,0.20600000000000002,0.005337074,NS
Species: Microvirga,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,Microvirga,0.16875000000000004,0.20600000000000002,0.005016318,NS
Family: Dongiaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiales,Dongiales,Dongiales,0.4541666666666668,0.20199999999999999,0.015414098999999999,NS
Genera: Dongia,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongiaceae,Dongiaceae,0.4541666666666668,0.20199999999999999,0.012476896999999999,NS
ASV0555: Dongia,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,Dongia,0.35625,0.064,0.008039258,NS
ASV0554: Dongia,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,Dongia,0.09791666666666665,0.13799999999999998,0.007698099,NS
Species: Dongia,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,Dongia,0.4541666666666668,0.20199999999999999,0.012892558,NS
ASV1003: SWB02,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,SWB02,0.15208333333333332,0.05,0.010846696999999999,NS
ASV1004: SWB02,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,SWB02,0.08333333333333333,0.054000000000000006,0.008897148,NS
Species: SWB02,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,SWB02,0.23541666666666672,0.10399999999999998,0.005822346,NS
Genera: SWB02,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonadaceae,Hyphomonadaceae,0.23541666666666672,0.10399999999999998,0.010114086,S
Family: Caulobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacterales,Caulobacterales,0.8291666666666667,0.4639999999999999,0.032149963,NS
Family: Hyphomonadaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacterales,Caulobacterales,0.23541666666666672,0.10399999999999998,0.013071285,NS
Genera: Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacteraceae,Caulobacteraceae,0.8270833333333334,0.4639999999999999,0.025256599999999997,NS
ASV0955: Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas,0.8270833333333334,0.4639999999999999,0.018956797,NS
Species: Brevundimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas,0.8270833333333334,0.4639999999999999,0.024536652000000003,NS
Family: Azospirillaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillales,Azospirillales,Azospirillales,1.2479166666666668,1.3840000000000001,0.005620339,NS
Species: Skermanella,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Skermanella,Skermanella,1.1270833333333332,1.3559999999999999,0.0074219080000000005,NS
ASV0558: Azospirillaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillaceae,Azospirillaceae,0.11041666666666666,0.028000000000000008,0.007582143,NS
Species: Azospirillaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillaceae,Azospirillaceae,0.11041666666666666,0.028000000000000008,0.006165645,NS
Genera: Azospirillaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillaceae,Azospirillaceae,0.11041666666666666,0.028000000000000008,0.008799105,S
Genera: Skermanella,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillaceae,Azospirillaceae,1.1270833333333332,1.3559999999999999,0.008539827,S
Order: Rhodovibrionales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,0.09166666666666666,0.076,0.016856746000000002,NS
Order: Rhizobiales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,1.0333333333333334,1.124,0.052900572,NS
Order: Sphingomonadales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,0.7125,0.7340000000000001,0.023056405,NS
Order: Caulobacterales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,1.0645833333333334,0.568,0.032522663,NS
Order: Rhodospirillales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,0.13541666666666666,0.024,0.007450583,NS
Order: Rhodobacterales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,0.24166666666666667,0.726,0.011661641,NS
Order: Tistrellales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,0.2729166666666667,0.08800000000000001,0.007482730999999999,NS
Order: Dongiales,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,0.4541666666666668,0.20199999999999999,0.02479104,NS
Order: Saccharimonadales,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadia,Saccharimonadia,Saccharimonadia,Saccharimonadia,0.12708333333333335,0.094,0.005126287,NS
Class: Saccharimonadia,Bacteria,Patescibacteria,Patescibacteria,Patescibacteria,Patescibacteria,Patescibacteria,Patescibacteria,0.12708333333333335,0.094,0.008142063,NS
ASV1627: S0134 terrestrial group,Bacteria,Gemmatimonadetes,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,0.2729166666666666,0.21799999999999997,0.008219816,NS
Species: S0134 terrestrial group,Bacteria,Gemmatimonadetes,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,0.2729166666666666,0.21799999999999997,0.008784755,NS
Genera: S0134 terrestrial group,Bacteria,Gemmatimonadetes,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,0.2729166666666666,0.21799999999999997,0.020124805,S
Family: S0134 terrestrial group,Bacteria,Gemmatimonadetes,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,0.2729166666666666,0.21799999999999997,0.00737363,NS
Order: S0134 terrestrial group,Bacteria,Gemmatimonadetes,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,S0134 terrestrial group,0.2729166666666666,0.21799999999999997,0.036433405,NS
Order: Gemmatimonadales,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadetes,0.16874999999999998,0.09,0.011732915,NS
