OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Species name
13c5a9e4a1eab4b085fd38fe7cf5ebd4,Bacteria,Chloroflexi,OLB14,,,,,OLB14
887a96a5ea8890f2592a0fd3e5933b0d,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,,,Blfdi19
caf4c09deb078476b3a948d0b67ec9d1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,Rhizobiaceae
32443123e9125ac68fea670170341bf4,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,,,Clade I
4e5c12668b9520cc84650fb12095ee8c,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,,,Clostridiaceae 1
1c6e48005377229ec4596c210438accf,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SS1-B-06-26,,,SS1-B-06-26
733787d2da5255fb9495688aaa0238c5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,,,Kiloniellaceae
f182c044a3bdb2ce987e0d2596c9439f,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,,Spirochaeta 2
3d8606ba8ad8e191f7225e7e824822b4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,UKL13-1,,UKL13-1
ccef6024845497ac1350b058c2711fa7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,,,AB1
b4f05411dcc3a800eac330ff61ec1033,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,,Rubritalea
70f70e26816e1bf1c212f0d6b6497d4d,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Herpetosiphonaceae,Herpetosiphon,,Herpetosiphon
5273a9a141da36472b8659ad2283424a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
ca04c86bfda856b54d584b39194de37e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
4e710cdb38b500343b439484614bb287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
2e53f095a221c55be821d378ec4a0516,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,marine metagenome,marine metagenome,marine metagenome
c0c52f4698c923b65ae9bfc5174277d5,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,,Moritella
243652e1d8501d7dcb91d5fe44189fe0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceitalea,,Croceitalea
4deccd0a8795fcc4cb4abb6c7e24c32c,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
c1259d1eac2bfcd32a7df25b0b2603a6,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,,Saprospiraceae
073b40ab77e3f7a9deff8fd5aa156d03,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,,,,Micavibrionales
58b263295d674a8da0ab18d88a13c7c3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
89aaa27812cb0ac559d410fd79922c4c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,Pleomorphomonas,,Pleomorphomonas
c7ae08af8ab026ee410f960a50cc3d9b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,Rhizobiaceae
ea6d39efe2fcc0c1d37c6133d70d8447,Bacteria,Marinimicrobia (SAR406 clade),,,,,,Marinimicrobia (SAR406 clade)
c9a6b987d54cc71904d9323f67f93a5f,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,,Chitinophagaceae
16256defbe5457d00b4b9d67896537ce,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureicoccus,,Aureicoccus
209be375e9dec764651dff6c929d4af5,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,,,Nostocaceae
b02c857efd3f6d392fd963a34ac50afb,Bacteria,Proteobacteria,,,,,,Proteobacteria
e5b83069871060b2fbf80d16a1b42c03,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
4a9f13384b7e8e99a33cbd4dc2915b07,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Marinicella,,Marinicella
f7d71c2b22658dfae800bb4c7afac535,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,,Roseibacillus
2737c244d39582cb1de6b1de44d40df6,Bacteria,Planctomycetes,OM190,,,,,OM190
90d6b905eb25d0059b22c6b9efc2e8a4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
8351f3143fab2a78f73e61424040c0ae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella,,Loktanella
7b3c4b0e1255cfc96a4bbfaab33dea38,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group,,Urania-1B-19 marine sediment group
45578833b532dd07073502061a63a357,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,,Steroidobacteraceae
72a80d87607e89f17857e5d3a53211da,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,,OM60(NOR5) clade
52fc6b7a6cc7d11e5f1070781b1d5948,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,,Arenicellaceae
e60adda5d08d866b05249df20d1756de,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,,,,Dadabacteriales
762f45728dfb4817880ecc817ea4d2f4,Bacteria,Proteobacteria,,,,,,Proteobacteria
cb59ecd63ad38711d94b3c7ea56da861,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
edb17c5f8f63ca3551fa4856b06bc9d4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
07af43b2a16bbdf59f49aa2df821daf6,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,,,,SAR202 clade
8cd2940f7925f9b384d37ff84b623d07,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,,,Arenicellaceae
5195ae37a5dddfd1ecec2c151d362e06,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,,Caulobacteraceae
75203baaecbd602837428fefac856900,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,,Marinomonas
3180e331c46a63c6f3f0f5f4bcf33906,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,,Candidatus Nitrosopumilus
53f4fa5086ba14d2076e3f0a6345c832,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,Burkholderiaceae
6fe7f1ee1f5b6c9a4e76f0fec776eeee,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,Xanthomonadaceae
5eb77aa52b63b852a4ce3c9958686817,Bacteria,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Phormidesmiaceae,Phormidesmis ANT.LACV5.1,,Phormidesmis ANT.LACV5.1
02041f0fe3ca98367983d4af71689f86,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
264d1187a2883f1bfd18679b0f67ed3a,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,,,,Gaiellales
d6086237f58049ee7d3c11ddcb3c1978,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,,,Bacteroidetes BD2-2
7b005ebcab050a635d645037dfaf1e82,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
b28a5f283b16d20ad139521303891aa3,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,,Subgroup 10
744046763cda277ad4511a75e1268151,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
7762817c7abf85d8d32fee4c88379737,Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,,,Methylacidiphilaceae
b63362aa30e44a714956628989acf8df,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
c161d29637c463dd794d2a940b7a32f7,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,,Niveispirillum
85ea58f1138d6b862c41752c11156c34,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,,MB11C04 marine group
ba48fc5b72d78a2728c6e1516fcc19b6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
35d3ba45b077c15d696884087b302cf1,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula,,Blastopirellula
29aa57ed213e1101847f03fed7bd538f,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,,Pseudarcicella
bb4bf10365a69f27a144dc2edb155bbb,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,,Lentimicrobiaceae
b4b734229b747e8a7bdfa3e021a5af2d,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,,Pseudofulvibacter
6b1a8c27c2650e4e77218b495a47ca74,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,,Luteolibacter
a080a409c3444a2a2ebd1d7716b1b32f,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,,Sphingorhabdus
49ec5aec46df1496722a61e75b747bd4,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,,Saprospiraceae
746cdece7c2d22523286a832620fca3e,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21,,RBG-16-49-21
5a063fdaad5d01bab6cef31363d82afe,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
33ea205f107b8e2fa563a45a8befb614,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Schleiferiaceae,Schleiferia,,Schleiferia
8d901a2b700b3cc6d36b4ce26c7b9d4e,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,,Saccharimonadales
bdff23cddc5ea4084f41e9f9a3fd0d0e,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,,OM27 clade
5dd2d6c4ec3dc96e8c5b69d5af63e673,Bacteria,Patescibacteria,Gracilibacteria,,,,,Gracilibacteria
19752694f599328892bc79cf04975906,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,,,Sandaracinaceae
dfd59f971efeb0b8570c4a5cc150381c,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,,Pirellula
c28f8b8d62168a8def39978eb3cdb092,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,,Tateyamaria
e30535acfc53f6cdc69ba0e78dfc38ff,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,,,Desulfobulbaceae
63e0410e97d654c0a897abd331597804,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
a08742ad97c1c07afbffc474dfb6720d,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,,Roseibacillus
19f1584a86689ccda6b2f87b8977ef09,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,,,,Micavibrionales
b36023fc56449cdd4e744a34b01598f8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
950355c26c8f5e4bb190491b6c48cb28,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,,Hirschia
02b4ef0a72b97903dbaf12059cedace4,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Ferrovibrio,,Ferrovibrio
dc890b16226a740bf81f74556237c3ab,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter butzleri,Arcobacter butzleri
94edba41ad454a84137c90c893f21d5d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
6c7cc7d18ee8f677b367eb9582234cd1,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula,,Blastopirellula
db96c742979b2265743e7f38f8b709b5,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,,,Micavibrionaceae
2dc267865cbaee2f8c9cd25ca6df7a13,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,,,P3OB-42
8052cc02fc1077a0a7949d62bed7f0f0,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,Cellvibrio
53446f6ee2b93ec44a113165c6e2096b,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,metagenome,metagenome,metagenome,metagenome
57453e074548e5c1d0750cdff08eefaa,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,,Phreatobacter
545f20008b06f019103a0188cb3da0b7,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,,,,WCHB1-41
8e16fc8ae174ad8ee281f1e0c99647d9,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
8e6fe45f6c719be3d495f9f48fb24767,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Croceitalea,,Croceitalea
1274879de84c6e9f91c004eb4037d06f,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,,,,Acetobacterales
5f0a3d5438e6557499316db1088ec42d,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
8acacb806428bc79e5a5ed26df1a5cd3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,,,Hyphomonadaceae
de5350258b8fd538c9cb2fbc73240700,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
1458bab29acbcedf86833ce6e51db0a2,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,,Fluviicola
d6ff45bc8514558bf0a6346ff773a6a8,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Marinicella,,Marinicella
c3b299befca3c0ed416c900f7a2522f0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
f9d26d8c0f04a5f8693834684f24b792,Bacteria,Lentisphaerae,Oligosphaeria,Oligosphaerales,Lenti-02,,,Lenti-02
e1833f89ba837e03595e709da456de5c,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,,Halioglobus
97a9e1c6ad1e6b90899184d7bc40c9e9,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,,Chitinophagaceae
0374b51942b5e9b2e8754d8c46af3fba,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
2b3dd249a5e64be7d79d1cd89239fa5f,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,,,,Planctomycetales
d168c44c0ac0f58b3c24238f68d18e5d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
3de0d199f3f459f3cf71839b058072c1,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,,,Oligoflexaceae
d6f30c2ceed71beac5839ed244b3e275,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade,,OM60(NOR5) clade
80c6f59db7553b40a6eed739e1b07e71,Bacteria,Lentisphaerae,Lentisphaeria,Victivallales,Arctic95B-14,,,Arctic95B-14
fb7d6d580de4e0b50bd77d894be8b4c2,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
e80faaa50117caed0ce57ce670d19f0a,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,,Pontibacter
7b094f9143fd42633c8fa01fcd942fa9,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,,,Lentimicrobiaceae
5aaae5d5b8ee4a4cc639aa67649e07b3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,,Thalassotalea
ff67acdd7c634bd4a0c9ee760091e0ab,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SS1-B-06-26,,,SS1-B-06-26
ec929ec19db79adfb264f4e11da40bd9,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,,Polyangiaceae
89d9f063872078147f2c9eccaa14a572,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Granulosicoccus,,Granulosicoccus
e6df5d00355d49b35cfdad5614843bae,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,,NS2b marine group
233f0083e5de834325e1758ddf0b2857,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,,Phaeodactylibacter
3e5f883feea48a341612a62d7c753196,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
751239888a90379627425720dbf73124,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
b92b0dcaf99964f500e1734b28e4cc92,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII,Fusibacter,,Fusibacter
534a2729a1e5bcab6cdc6808d3a0c301,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,,Flavobacteriaceae
c783f113a9f86cb1d88f74dfb6548f4e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,Rhodobacteraceae
8992f89ebf8e44efcc373c22923fa5be,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,Sphingomonadaceae
